VvINV2,VvACYT,VvADH1,VvAGPL,VvHP,VvDMR6,VvLOX,VvOLP,VvSAMT,VvSUSY,VvWRKY,VvCASY,VvCKO,VvGLC1,VvGLC2,VvGLC3,status
-1.056242096,1.304451567,1.903151389,0.541593594,-0.315834778,-0.349925693,-0.593874893,-0.127468136,NA,0.532755985,1.659433825,0.274322086,1.869017857,-0.25447009,-0.209752524,NA,0
9.339403794,0.051530254,0.125234716,10.91174456,1.357141864,7.479629662,0.142119213,17.64547319,23.7060386,2.072801899,7.806911727,1.762628054,-0.094187187,2.115238937,6.784421553,12.1308428,1
-0.833875339,0.186981207,-1.062933988,-1.161194828,-0.105478659,-0.728241046,-0.65993111,-0.673217474,NA,-1.514583908,0.251001275,NA,-0.33542585,-0.828495283,-0.39775311,-0.254624334,0
-1.000650407,-0.524136296,0.094012765,-1.179926393,-0.767682758,-0.305156834,-0.610175863,-0.470619112,NA,-1.894730035,0.764502576,0.723360056,-0.246872747,-0.926639617,-0.354795642,-0.838009633,0
NA,-0.828900939,-0.920700654,-1.129975554,-0.695538963,-0.684212169,-1.042098287,-0.702974109,-0.620293928,0.816892509,-0.559660567,-0.757631281,0.362060558,-1.077904843,-0.40782457,NA,0
-1.056242096,0.017667516,0.10962374,-1.18349431,-0.65718884,-0.357325504,-0.946423315,-0.627632843,NA,-0.986531097,-1.678817432,-0.284935564,NA,0.468843361,-0.232515817,-0.441422079,0
NA,0.085392992,1.068831467,-0.308462649,-0.38228301,0.067978651,-0.301203236,0.85513392,NA,0.017677444,0.348083575,-0.393539791,NA,0.677501627,0.043276892,NA,0
0.611508582,-1.336842012,-1.151396183,-0.675066127,-0.241602609,-0.300346957,0.032700286,-0.21483868,NA,-1.6196755,-0.904376651,NA,NA,-0.165371067,-0.293642916,-0.732654888,0
0.72269196,0.085392992,-0.025671383,0.21780512,NA,-0.09944208,-0.187948787,NA,NA,0.282352563,-0.025461517,NA,NA,-0.608929834,-0.338682588,NA,0
-0.111183379,0.254706683,0.498163579,0.301651171,-0.329883832,-0.371200151,0.377684206,-0.69474355,-0.531080758,0.476966621,-0.213466072,NA,NA,0.047295302,-0.202205335,-0.481888111,0
-0.77828365,-0.050057961,-0.785405531,-0.508266004,-0.003338233,-0.415784013,-0.078210233,-0.620351965,-0.82321016,NA,0.854439224,NA,-0.668524578,NA,-0.430837728,NA,0
1.667750678,0.017667516,0.295220896,-0.644738832,0.417753709,0.64923383,0.062638668,0.834240964,0.474754011,-1.156494041,-0.970412326,NA,0.00219522,1.428580662,0.472614518,NA,0
0.722691961,0.085392992,0.65080423,0.500562547,0.385478854,0.220229769,0.598546363,-0.282582508,-0.331663082,1.38516556,0.308166487,NA,NA,NA,-0.046456485,NA,0
0.889467028,-0.083920699,-0.743776263,0.152690633,0.149872407,0.562471042,0.435323582,0.326795379,0.068921548,-0.523349639,-0.558921361,NA,NA,1.857203833,0.036530551,0.294017403,0
21.45839206,-0.320959867,0.701106263,15.42783559,3.610876057,7.379547213,2.134459946,17.25230574,38.81367682,2.624208397,7.228113955,NA,-0.31255976,7.885687048,8.969973218,58.3262931,1
0.277958446,-0.320959867,-0.424618538,2.882147191,2.864187776,-0.087972373,0.208388514,-0.335448018,1.642396981,-0.267756508,-0.465288687,NA,NA,NA,NA,0.238938637,0
33.91093045,-0.62572451,0.460003416,81.97216486,6.474605023,12.94291036,6.172732181,21.04880912,33.00257577,1.273586833,10.41778495,NA,0.436763989,2.837550361,NA,19.38652503,1
47.14175249,-0.659587249,15.15166607,62.34416109,12.14605659,5.455226282,3.800142032,13.11961571,112.551861,37.64306203,6.991568248,NA,-0.468128313,8.668885059,3.390704725,520.0224162,1
34.74480579,-1.438430227,22.91379008,65.88621077,19.99435225,5.420262173,0.595456636,11.48331738,143.9557718,22.65907698,7.016208428,NA,NA,7.398188108,9.065741781,419.9183936,1
10.50682927,-0.524136296,-0.218206749,15.94875148,0.264732923,7.199361808,0.582245393,24.71583947,11.59841191,3.42472089,2.114537905,NA,1.543918021,9.141698911,15.61754684,9.578825903,1
23.23732611,-1.167528321,-0.216472196,22.12035603,0.415855188,14.85705655,1.492968847,29.21035751,43.78599913,3.378013516,4.545537824,NA,NA,7.91616758,9.894683162,15.25480006,1
22.62581753,-1.167528321,2.132112365,87.81641304,2.650604172,7.121663789,2.703715375,21.5467579,33.98392065,4.960874523,6.331950697,NA,-0.103005753,NA,2.611922035,7.519452292,1
37.07965673,-0.862763678,1.965595292,68.00466153,2.555488273,13.819603,4.072144486,39.47671295,54.99974484,9.237194095,11.4938215,NA,-0.453261115,NA,NA,NA,1
12.84168022,0.830373232,0.871092442,18.69872356,2.247548179,14.62803239,0.531424723,31.7526504,28.45882654,0.469182059,3.70136534,NA,-0.441559555,4.855230231,13.25347022,3.415317803,1
1.278608853,0.69492228,0.772222929,0.310570963,-0.006186014,2.120686309,2.107291663,2.010577705,-0.258193412,0.103307629,-0.194000332,NA,-0.647156513,1.145494922,2.097156389,1.722080035,0
